what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316079553650
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1316079556006
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316079556365
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316079558500
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1316079558846
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1316079568063
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316079568384
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316079572976
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1316079574045
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Terminate",1316079574538
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1316079579386
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1316079583839
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1316079583841
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316079586541
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316079587872
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316079589737
executed,command,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors.lineNumberToggle",1316079591633
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316079638215
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316079645411
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1316079651120
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316079652009
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316079652312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316079682564
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1316079710293
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1316079712365
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316079715619
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1316079716151
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1316079720194
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316079721535
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1316079725427
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316079725765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316079728059
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.VariableView",1316079728329
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1316079728394
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.BreakpointView",1316079728550
